,Default,HIVE COTE,STC,gRSF,DTWA,MLCN,DTWD,CBOSS,DTWI,RISE,TSF,TapNet,MUSE,Signature Pipeline
ArticularyWordRecognition,4.0,99.0,99.0,98.3,98.7,95.7,98.7,99.0,98.0,96.3,95.3,95.7,99.3,97.7
AtrialFibrillation,33.3,13.3,26.700000000000003,26.700000000000003,26.700000000000003,33.3,20.0,26.700000000000003,26.700000000000003,26.700000000000003,20.0,20.0,40.0,46.7
BasicMotions,25.0,100.0,97.5,100.0,100.0,87.5,97.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cricket,8.3,98.6,98.6,98.6,100.0,91.7,100.0,98.6,98.6,98.6,93.1,100.0,98.6,95.8
DuckDuckGeese,20.0,48.0,36.0,40.0,50.0,46.0,57.99999999999999,38.0,48.0,46.0,22.0,57.99999999999999,,44.0
EigenWorms,42.0,63.4,77.9,81.7,61.1,50.4,61.8,61.8,60.3,81.7,74.0,,,84.0
Epilepsy,26.8,100.0,99.3,97.8,97.8,73.2,96.4,100.0,97.8,100.0,97.8,95.7,99.3,95.7
EthanolConcentration,25.1,79.1,82.1,34.6,31.6,37.3,32.3,36.1,30.4,48.7,44.5,30.8,47.5,43.3
ERing,16.7,97.0,88.9,95.2,92.6,94.1,91.5,90.7,91.9,85.9,88.1,90.4,97.4,94.8
FaceDetection,50.0,65.6,64.6,54.79999999999999,52.800000000000004,55.50000000000001,52.900000000000006,51.6,51.300000000000004,50.8,64.0,60.3,63.1,61.4
FingerMovements,49.0,55.00000000000001,51.0,57.99999999999999,51.0,57.99999999999999,53.0,48.0,52.0,56.00000000000001,57.99999999999999,47.0,55.00000000000001,52.0
HandMovementDirection,18.9,44.6,39.2,41.9,20.3,52.7,18.9,18.9,29.7,29.7,48.6,33.8,36.5,20.3
Handwriting,3.8,48.2,28.800000000000004,37.5,60.699999999999996,30.9,60.699999999999996,47.2,50.9,19.4,36.6,28.1,52.2,37.9
Heartbeat,72.2,72.2,72.2,76.1,69.3,38.0,71.7,72.2,65.9,73.2,74.1,79.0,71.2,69.8
Libras,6.7,90.0,86.1,69.4,88.3,85.0,87.2,84.4,89.4,80.6,80.6,87.8,89.4,93.9
LSST,31.5,57.49999999999999,58.70000000000001,58.8,56.7,52.800000000000004,55.1,43.5,57.49999999999999,50.9,35.0,51.300000000000004,64.0,56.9
MotorImagery,50.0,61.0,50.0,50.0,50.0,51.0,50.0,59.0,39.0,55.00000000000001,48.0,,,55.0
NATOPS,16.7,88.9,87.2,84.4,88.3,90.0,88.3,86.1,85.0,83.9,80.0,81.1,90.6,92.2
PenDigits,10.4,93.4,94.1,93.5,97.7,97.9,97.7,90.8,93.9,83.2,89.2,85.6,96.7,97.4
PEMS-SF,11.6,98.3,97.1,90.8,73.4,74.6,71.1,98.3,73.4,99.4,98.3,78.0,,100.0
Phoneme,2.6,32.1,29.5,22.4,15.1,13.5,15.1,19.5,15.1,26.899999999999995,13.699999999999998,,,10.6
Racketsports,28.300000000000004,88.8,88.8,88.2,84.2,84.2,80.3,88.2,84.2,80.9,88.8,87.5,92.8,90.8
SelfRegulationSCP1,50.2,85.3,84.0,82.3,78.5,90.8,77.5,80.5,76.5,72.4,84.0,93.5,69.6,78.8
SelfRegulationSCP2,50.0,46.1,53.29999999999999,51.7,52.2,50.6,53.900000000000006,48.9,53.29999999999999,49.4,48.3,48.3,52.800000000000004,50.6
StandWalkJump,33.3,33.3,46.7,33.3,33.3,40.0,20.0,33.3,33.3,26.700000000000003,33.3,13.3,26.700000000000003,46.7
JWaveGestureLibrary,12.5,89.1,85.0,89.7,90.0,85.9,90.3,85.6,86.9,68.4,77.5,90.0,93.1,90.9
